date,day,country,county,swims,cornish_bought,cornish_for,devonian_bought,devonian_for,somerset_bought,somerset_for,welsh_bought,welsh_for,guinness_bought,guinness_for,murphys_bought,murphys_for,beamish_bought,beamish_for,£_accom,£_groceries,£_eord_out,£_boats,£_alcohol,£_gear,distance_km
16 Jul 2026,1,England,Cornwall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11.1
17 Jul 2026,2,England,Cornwall,4,,,,,,,,,,,,,,,,,17,,,,29.76
18 Jul 2026,3,England,Cornwall,3,1,5,,,,,,,,,,,,,,,,17.55,21.15,,18.4
19 Jul 2026,4,England,Cornwall,1,,2,,,,,,,,,,,,,,,,,,,0
20 Jul 2026,5,England,Cornwall,2,,,,,,,,,,,,,,,,,10.65,7,,,19.4
21 Jul 2026,6,England,Cornwall,5,,0.5,,,,,,,,,,,,,,6.11,,,,,20
22 Jul 2026,7,England,Cornwall,2,2,0,,,,,,,,,,,,,,10.02,,,,,10.4
23 Jul 2026,8,England,Cornwall,4,1,2.5,,,,,,,,,,,,,,,,,11.8,,32.7
24 Jul 2026,9,England,Cornwall,5,,,,,,,,,,,,,,,,,,,,,23.3
25 Jul 2026,10,England,Cornwall,4,,,,,,,,,,,,,,,,5.5,,,,,19.1
26 Jul 2026,11,England,Cornwall,1,,,,,,,,,,,,,,,,,,,,,22.7
27 Jul 2026,12,England,Cornwall,2,,,,,,,,,,,,,,,,2.55,,,,,22.4
28 Jul 2026,13,England,Cornwall,1,,,,,,,,,,,,,,,,,4.5,,,,0
29 Jul 2026,14,England,Cornwall,3,1,1.5,,,,,,,,,,,,,,4.14,10,,7,,20.9
13 Aug 2026,15,England,Cornwall,1,,,,,,,,,,,,,,,,5.20,,,6,,23
14 Aug 2026,16,England,Cornwall,1,,2,,,,,,,,,,,,,,,,,,3.5,24.2
15 Aug 2026,17,England,Cornwall,2,,2,,,,,,,,,,,,,,,,,,,0
16 Aug 2026,18,England,Cornwall,3,0.5,,,,,,,,,,,,,,,1,6.50,3,3.20,,22.9
17 Aug 2026,19,England,Cornwall,4,0.5,,,,,,,,,,,,,,,,3.2,,3.3,,31.1
18 Aug 2026,20,England,Cornwall,3,1,1,,,,,,,,,,,,,,1,3.2,,5.2,,35.5
19 Aug 2026,21,England,Cornwall,2,,,,1,,,,,,,,,,,,7.34,5.5,,,10,18.7
20 Aug 2026,22,England,Devon,3,,,,,,,,,,,,,,,,,,,,,32.1
21 Aug 2026,23,England,Devon,1,,,1,1,,,,,,,,,,,,13.07,4.95,2,5.8,,30.9
22 Aug 2026,24,England,Devon,2,,,,,,,,,,,,,,,,,6.05,,,,22.9
23 Aug 2026,25,England,Devon,3,,,,,,,,,,,,,,,,3.08,,,,,32.8
24 Aug 2026,26,England,Devon,1,,,0.5,,,,,,,,,,,,,5.48,13.96,,3,,27.2
25 Aug 2026,27,England,Somerset,1,,,,,1,,,,,,,,,,,2.58,9.80,,4.9,,32
26 Aug 2026,28,England,Somerset,1,,,,,,1,,,,,,,,,,7.02,,,,,45
27 Aug 2026,29,England,Somerset,1,,,,,,,,,,,,,,,,5.45,2.50,,,,34.7
28 Aug 2026,30,England,Somerset,1,,,,,,,,,,,,,,,,,8.60,,,,28.7
6 Sep 2026,31,Wales,Wales,2,,,,,,,,,,,,,,,,,,,,,27
7 Sep 2026,32,Wales,Wales,1,,,,,,,,,,,,,,,,,,,,,21.2
